Namespace,Pod Name,Status,Restart Count,Failure Reasons,Logs,Failure_Label
default,nginx-5869d7778c-pvpvn,Running,1,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:29:49 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:29:49 [notice] 1#1: nginx/1.27.4
2025/03/17 16:29:49 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:29:49 [notice] 1#1: OS: Linux 6.12.5-linuxkit",0
default,nginx-pod,Running,0,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:30:06 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:30:06 [notice] 1#1: nginx/1.27.4
2025/03/17 16:30:06 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:30:06 [notice] 1#1: OS: Linux 6.12.5-linuxkit",0
kube-system,coredns-668d6bf9bc-bml8n,Running,3,,"[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade",0
kube-system,etcd-minikube,Running,3,,"{""level"":""warn"",""ts"":""2025-03-17T16:03:27.907458Z"",""caller"":""embed/config.go:689"",""msg"":""Running http and grpc server on single port. This is not recommended for production.""}
{""level"":""info"",""ts"":""2025-03-17T16:03:27.907802Z"",""caller"":""etcdmain/etcd.go:73"",""msg"":""Running: "",""args"":[""etcd"",""--advertise-client-urls=https://192.168.49.2:2379"",""--cert-file=/var/lib/minikube/certs/etcd/server.crt"",""--client-cert-auth=true"",""--data-dir=/var/lib/minikube/etcd"",""--experimental-initial-corrupt-check=true"",""--experimental-watch-progress-notify-interval=5s"",""--initial-advertise-peer-urls=https://192.168.49.2:2380"",""--initial-cluster=minikube=https://192.168.49.2:2380"",""--key-file=/var/lib/minikube/certs/etcd/server.key"",""--listen-client-urls=https://127.0.0.1:2379,https://192.168.49.2:2379"",""--listen-metrics-urls=http://127.0.0.1:2381"",""--listen-peer-urls=https://192.168.49.2:2380"",""--name=minikube"",""--peer-cert-file=/var/lib/minikube/certs/etcd/peer.crt"",""--peer-client-cert-auth=true"",""--peer-k",0
kube-system,kube-apiserver-minikube,Running,2,,"W0317 16:03:28.055482       1 registry.go:256] calling componentGlobalsRegistry.AddFlags more than once, the registry will be set by the latest flags
I0317 16:03:28.056235       1 options.go:238] external host was not specified, using 192.168.49.2
I0317 16:03:28.057680       1 server.go:143] Version: v1.32.0
I0317 16:03:28.057704       1 server.go:145] ""Golang settings"" GOGC="""" GOMAXPROCS="""" GOTRACEBACK=""""
I0317 16:03:28.243169       1 shared_informer.go:313] Waiting for caches to sync for node_authorizer
I0317 16:03:28.247667       1 shared_informer.go:313] Waiting for caches to sync for *generic.policySource[*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicy,*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicyBinding,k8s.io/apiserver/pkg/admission/plugin/policy/validating.Validator]
I0317 16:03:28.249716       1 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,NodeRestri
Additional debug info: Timeout detected.",0
kube-system,kube-controller-manager-minikube,Running,1,,"I0317 16:03:28.428376       1 serving.go:386] Generated self-signed cert in-memory
I0317 16:03:28.591744       1 controllermanager.go:185] ""Starting"" version=""v1.32.0""
I0317 16:03:28.591757       1 controllermanager.go:187] ""Golang settings"" GOGC="""" GOMAXPROCS="""" GOTRACEBACK=""""
I0317 16:03:28.592773       1 secure_serving.go:213] Serving securely on 127.0.0.1:10257
I0317 16:03:28.594296       1 dynamic_cafile_content.go:161] ""Starting controller"" name=""request-header::/var/lib/minikube/certs/front-proxy-ca.crt""
I0317 16:03:28.594305       1 tlsconfig.go:243] ""Starting DynamicServingCertificateController""
I0317 16:03:28.594309       1 dynamic_cafile_content.go:161] ""Starting controller"" name=""client-ca-bundle::/var/lib/minikube/certs/ca.crt""
I0317 16:03:35.432795       1 controllermanager.go:765] ""Started controller"" controller=""serviceaccount-token-controller""
I0317 16:03:35.433534       1 shared_informer.go:313] Waiting for caches to sync for tokens
I0317 16:03:35.435043       1 contr",0
kube-system,kube-proxy-2nh4w,Running,2,,"I0317 16:03:31.250010       1 server_linux.go:66] ""Using iptables proxy""
I0317 16:03:31.406139       1 server.go:698] ""Successfully retrieved node IP(s)"" IPs=[""192.168.49.2""]
E0317 16:03:31.406177       1 server.go:234] ""Kube-proxy configuration may be incomplete or incorrect"" err=""nodePortAddresses is unset; NodePort connections will be accepted on all local IPs. Consider using `--nodeport-addresses primary`""
I0317 16:03:31.419211       1 server.go:243] ""kube-proxy running in dual-stack mode"" primary ipFamily=""IPv4""
I0317 16:03:31.419236       1 server_linux.go:170] ""Using iptables Proxier""
I0317 16:03:31.420296       1 proxier.go:255] ""Setting route_localnet=1 to allow node-ports on localhost; to change this either disable iptables.localhostNodePorts (--iptables-localhost-nodeports) or set nodePortAddresses (--nodeport-addresses) to filter loopback addresses"" ipFamily=""IPv4""
I0317 16:03:31.421304       1 server.go:497] ""Version info"" version=""v1.32.0""
I0317 16:03:31.421317       1 se
Additional debug info: Timeout detected.",0
kube-system,kube-scheduler-minikube,Running,2,,"I0317 16:03:28.165030       1 serving.go:386] Generated self-signed cert in-memory
W0317 16:03:29.429364       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
W0317 16:03:29.429401       1 authentication.go:397] Warning looking up in-cluster authentication configuration: configmaps ""extension-apiserver-authentication"" is forbidden: User ""system:kube-scheduler"" cannot get resource ""configmaps"" in API group """" in the namespace ""kube-system""
W0317 16:03:29.429412       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
W0317 16:03:29.429417       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
I0317 16:03:29.524173       1",0
kube-system,metrics-server-57c6857795-hgscc,Running,1,,"I0317 16:34:04.907629       1 serving.go:374] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
I0317 16:34:05.123594       1 handler.go:275] Adding GroupVersion metrics.k8s.io v1beta1 to ResourceManager
I0317 16:34:05.228109       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
I0317 16:34:05.228127       1 configmap_cafile_content.go:202] ""Starting controller"" name=""client-ca::kube-system::extension-apiserver-authentication::client-ca-file""
I0317 16:34:05.228137       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0317 16:34:05.228132       1 shared_informer.go:311] Waiting for caches to sync for RequestHeaderAuthRequestController
I0317 16:34:05.228150       1 configmap_cafile_content.go:202] ""Starting controller"" name=""client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file""
I0317 16:34:05.228157       1 shared_inform
Additional debug info: Timeout detected.",0
kube-system,storage-provisioner,Running,5,,"I0317 16:04:14.361674       1 storage_provisioner.go:116] Initializing the minikube storage provisioner...
I0317 16:04:14.368524       1 storage_provisioner.go:141] Storage provisioner initialized, now starting service!
I0317 16:04:14.368765       1 leaderelection.go:243] attempting to acquire leader lease kube-system/k8s.io-minikube-hostpath...
I0317 16:04:31.779903       1 leaderelection.go:253] successfully acquired lease kube-system/k8s.io-minikube-hostpath
I0317 16:04:31.780075       1 controller.go:835] Starting provisioner controller k8s.io/minikube-hostpath_minikube_8794e990-74c6-4d5f-b165-1b3dcee8f93d!
I0317 16:04:31.780642       1 event.go:282] Event(v1.ObjectReference{Kind:""Endpoints"", Namespace:""kube-system"", Name:""k8s.io-minikube-hostpath"", UID:""e1317a39-602d-4027-8118-84eeb68f5fe8"", APIVersion:""v1"", ResourceVersion:""5533"", FieldPath:""""}): type: 'Normal' reason: 'LeaderElection' minikube_8794e990-74c6-4d5f-b165-1b3dcee8f93d became leader
I0317 16:04:31.883930       1 contr",0
default,bad-image-pod,Pending,1,ContainersNotReady | ImagePullBackOff,"Error fetching logs: (400)
Reason: Bad Request
HTTP response headers: HTTPHeaderDict({'Audit-Id': '6e263e11-cb0f-40c5-8add-a77d9b82d600', 'Cache-Control': 'no-cache, private', 'Content-Type': 'application/json', 'Date': 'Mon, 17 Mar 2025 16:37:17 GMT', 'Content-Length': '225'})
HTTP response body: {""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""container \""invalid-container\"" in pod \""bad-image-pod\"" is waiting to start: trying and failing to pull image"",""reason"":""BadRequest"",""code"":400}

",1
default,crash-pod,Running,4,CrashLoopBackOff | ContainersNotReady,"Crash Test
",0
default,failing-readiness-pod,Running,0,ContainersNotReady,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:32:28 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:32:28 [notice] 1#1: nginx/1.27.4
2025/03/17 16:32:28 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:32:28 [notice] 1#1: OS: Linux 6.12.5-linuxkit
Pod failed due to high memory consumption.",0
default,nginx-5869d7778c-pvpvn,Running,3,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:29:49 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:29:49 [notice] 1#1: nginx/1.27.4
2025/03/17 16:29:49 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:29:49 [notice] 1#1: OS: Linux 6.12.5-linuxkit",0
default,nginx-pod,Running,0,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:30:06 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:30:06 [notice] 1#1: nginx/1.27.4
2025/03/17 16:30:06 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:30:06 [notice] 1#1: OS: Linux 6.12.5-linuxkit",0
kube-system,coredns-668d6bf9bc-bml8n,Running,3,,"[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade",0
kube-system,etcd-minikube,Running,2,,"{""level"":""warn"",""ts"":""2025-03-17T16:03:27.907458Z"",""caller"":""embed/config.go:689"",""msg"":""Running http and grpc server on single port. This is not recommended for production.""}
{""level"":""info"",""ts"":""2025-03-17T16:03:27.907802Z"",""caller"":""etcdmain/etcd.go:73"",""msg"":""Running: "",""args"":[""etcd"",""--advertise-client-urls=https://192.168.49.2:2379"",""--cert-file=/var/lib/minikube/certs/etcd/server.crt"",""--client-cert-auth=true"",""--data-dir=/var/lib/minikube/etcd"",""--experimental-initial-corrupt-check=true"",""--experimental-watch-progress-notify-interval=5s"",""--initial-advertise-peer-urls=https://192.168.49.2:2380"",""--initial-cluster=minikube=https://192.168.49.2:2380"",""--key-file=/var/lib/minikube/certs/etcd/server.key"",""--listen-client-urls=https://127.0.0.1:2379,https://192.168.49.2:2379"",""--listen-metrics-urls=http://127.0.0.1:2381"",""--listen-peer-urls=https://192.168.49.2:2380"",""--name=minikube"",""--peer-cert-file=/var/lib/minikube/certs/etcd/peer.crt"",""--peer-client-cert-auth=true"",""--peer-k
Disk IO error encountered.",0
